Author,Text,Pro,Neutral,Cons
Crease,"14th & 15th July, Certiorari—“Chinese Regulation Act, 1884,” s. 5—Constitutionality—B.N.A. Act, 1867, ss.",0.06855440139770508,0.2410961538553238,0.6903494000434875
Crease,"Held, that the “Chinese Regulation Act, 1884,” is ultra vires of the Provincial Legislature, on the following grounds: 
1.",0.4549240469932556,0.39351174235343933,0.15156421065330505
Crease,"It is an infraction of the existing treaties between the Imperial Government and China. 
",0.04459226503968239,0.7371992468833923,0.21820849180221558
Crease,"14th & 15th July—On the return of a writ of certiorari directed to Edwin Johnson, Esquire, Police Magistrate for the City of Victoria, to return into this Court a certain conviction made by him under which one Wing Chong was fined $20 for not having in his possession a license issued under the “Chinese Regulation Act, 1884.”

",0.0825059711933136,0.3317800462245941,0.5857139825820923
Crease,"That it interfered with the Dominion powers under the B. N. A. Act, aliens, and naturalization; 2nd.",0.09007537364959717,0.6698102355003357,0.24011442065238953
Crease,As to the first point aliens were as much subject to taxation as citizens.,0.16172507405281067,0.6452816128730774,0.19299334287643433
Crease,The law did not deal with the conditions under which aliens might acquire rights or become subjects of Her Majesty.,0.0077478899620473385,0.9172190427780151,0.0750330239534378
Crease,"Its object, though not apparent on the face of the Act, was to prevent Chinese coming into the Province and drive out those who had already come.",0.004230489023029804,0.19036786258220673,0.805401623249054
Crease,"He reviewed the legislation against Chinese since confederation, contending it was levelled against a particular race of aliens and, therefore, beyond provincial control, per *Gwynne*, J., in *Citizens Insurance Co. v. Parsons*, 4 S. C. R., at p. 346.",0.42571982741355896,0.09935539960861206,0.4749247431755066
Crease,"If its object were successful and Chinese driven from the country, the customs dues received from the Chinese would be lost and the benefits of trade relations enjoyed by the merchants would be destroyed.",0.04334234818816185,0.4828830659389496,0.47377458214759827
Crease,"Counsel cited statistics from the Chinese Commission showing the extreme importance, from a fiscal and commercial point of view, of the large number of Chinese in the Province.",0.004565384238958359,0.8683105707168579,0.12712398171424866
Crease,"The Dominion under the B. N. A. Act had alone the right of performing in Canada the obligations of Canada as part of the British Empire in respect of treaties, and although Canada might pass laws prohibiting immigration, or having that tendency, the Province could not do so, nor could it pass laws in derogation of treaties.",0.04506008327007294,0.7541744709014893,0.200765460729599
Crease,"The California cases (see The People v. Naglee, 1 Cal. 232) decided a differential tax might be imposed on foreign miners; and though a later case (Lin Sing v. Washburn, 20 Cal. 334) had decided a special tax could not be imposed on Chinese, a most celebrated Judge, Mr. Justice Field (since elevated to the Federal bench), dissented, and had pointed out that according to federal decisions the State might impose special taxation on alien residents, provided the impost was not levied against foreigners landing in the country.",0.02241387590765953,0.5191840529441833,0.4584020674228668
Crease,The tax was not to exclude the Chinese — another statute with that object had been disallowed.,0.017649268731474876,0.7705169916152954,0.21183378994464874
Crease,"Opponents to the Act might as well contend the exclusion of the Chinese from the franchise, and barring them from acquiring lands, was illegal.",0.8809843063354492,0.039125800132751465,0.07988987863063812
Crease,"That it interfered with the Dominion powers under the B. N. A. Act over aliens and naturalization. 
",0.07060820609331131,0.742453396320343,0.18693840503692627
Crease,"Sub-section 2 of section 91 gives to the Dominion Parliament exclusively the regulation of “trade and commerce,” and by sub-section 25 that of “naturalization and aliens,” and everything relating to those subjects as affecting the whole Dominion is within the Dominion powers, and no local Legislature can make any statute interfering with either of those subjects.",0.01332771871238947,0.9089207649230957,0.07775149494409561
Crease,"Now, applying this test to the statute before us, let us see whether and how far its provisions affect, as is alleged, aliens, or trade, or commerce. 

",0.0411638468503952,0.6111328601837158,0.34770330786705017
Crease,"The aliens in this case being Chinese, the first enquiry must be, what is the object of the Act?",0.029319461435079575,0.3971080780029297,0.5735723972320557
Crease,"The provisions of the Act I have given somewhat in extenso bear out that view, and the concurrent and previous local legislation bear out the same impression, for on the same day as this Act was passed, another Act was passed, the very object of which was plainly stated to be ""to prevent the immigration"" of Chinese."" 

",0.05328484997153282,0.10912008583545685,0.8375950455665588
Crease,"It interfered with aliens as well as trade and commerce, which cannot subsist among nations without personal intercourse, which such an Act (as far as China was concerned) would have a tendency to prohibit. 

",0.024200310930609703,0.7794070839881897,0.19639258086681366
Crease,"Another statute (of 1878), ""An Act to provide for the better collection of taxes from Chinese,"" which contained several of the stringent provisions which I have described in this Act, such as a special tax specially recoverable by summary and unusual remedies from the Chinese alone, in British Columbia, and enforced by fine and imprisonment and other penal clauses, came before this Court, and in a most conscientious and exhaustive judgment of Mr. Justice Gray, of 23rd September, 1878, in the case of Tai Sing v. Maguire, was declared unconstitutional and ultra vires the Local Legislature, as interfering with aliens and trade and commerce—matters reserved exclusively under the 81st section of the B. N. A. Act to the Dominion.",0.11561378836631775,0.6431909799575806,0.24119524657726288
Crease,"The basis, then, of our enquiry must be: Is this Chinese Regulation Act of 1884—rather the parts of it objected to—within the limit of subjects and area of section 92, or does it exceed those limits in which it is supreme, and interfere with aliens, trade and commerce in such a manner as to encroach on section 91 or any of its sub-sections?",0.06072639673948288,0.3135566711425781,0.6257169246673584
Crease,"The power asserted in the Act in question (the California Act) is the right of the State to prescribe the terms upon which the Chinese shall be permitted to reside in it, and be so used as to cut off all intercourse between them and the people of the State, and defeat the commercial policy of the nation. 

",0.002364140935242176,0.25047987699508667,0.747156023979187
Crease,"That the Chinese might be taxed as other residents, but could not be set apart as special objects of the taxation, and be compelled to contribute to the revenue of the State in the character of foreigners. 

",0.14608363807201385,0.6265917420387268,0.22732461988925934
Crease,"The reports of the higher California courts are of great authority for us on all Chinese questions, for there have been efforts for years past to restrict Chinese immigration in California, and the matter has been constantly before the superior courts there, and the judges there (if we may take the reports as correct) are more than ordinarily skilled in laying down the law correctly in constitutional points of that nature.",0.37737807631492615,0.1684369146823883,0.45418500900268555
Crease,"Still both Federal Governments have reserved to themselves the regulation of trade and commerce and naturalization and aliens; so the analogy is so close as to become almost a direct authority. 

",0.05222966894507408,0.7938084006309509,0.1539619266986847
Crease,"And again, ""A tax imposed by the law on these persons for the mere right to reside here, is an appropriate and effective means to discourage the immigration of the Chinese into the State.",0.0011857317294925451,0.04376168176531792,0.9550525546073914
Crease,"In another California case, *In re Tiburcio Parrott*, it is laid down that if the apparent object of a statute is under a pretense of the exercise of constitutional powers to drive Chinese away, the end sought to be obtained being unlawful, the statute is void. 

",0.5333073735237122,0.3451708257198334,0.12152184545993805
Crease,Legislation as to aliens is reserved to the Dominion.,0.03670250251889229,0.8427193760871887,0.12057815492153168
Crease,"And as to trade and commerce, if the Chinese be driven out an annual loss to the revenue, it appears by the tables in the Chinese Commission Report, of $110,000 will take place; and more than $1,500,000 of property and business be lost to us, besides an injury to trade to an incalculable extent.",0.011328906752169132,0.08738523721694946,0.9012858867645264
Crease,"The amount of business transacted by Chinamen in British Columbia, as revealed by the tables in that Chinese Report, is something which a casual observer would have no idea of. 

",0.006315033417195082,0.8676467537879944,0.12603823840618134
Crease,"The treaties between Great Britain and China, which bind us, have been quoted.",0.09360995143651962,0.4130265414714813,0.49336349964141846
Crease,"The treaty of 25th August, 1842, *Hertslet*, Vol. 6, ratified 26th June, 1843, p. 221, and Lord Elgin's treaty of October, 1860, authenticated copies of which were produced in Court, secure to Chinese coming into British dominions the same ""full security for persons and property as subjects of Her Majesty."" 

",0.4681378901004791,0.5029575824737549,0.028904562816023827
Crease,"The treaties I have quoted between Great Britain and China, binding on the Dominion and on us in British Columbia, secure to the Chinese, just as the treaties between Great Britain and other foreign countries secure to other foreigners, the same rights in regard to the equality of taxation which I have described as being enjoyed by citizens of this country. 

",0.2581184506416321,0.7239000797271729,0.017981452867388725
Crease,"In the case of the Chinese treaties, they were forced at the point of the bayonet on China, to obtain a right for us to enter China, and in return for a similar permission to us, full permission was given for the Chinese to trade and reside in British dominions everywhere. 

",0.1257212609052658,0.5775097608566284,0.2967689335346222
Crease,"In the treaties of 1858 and 1860, made at the solicitation of Great Britain, the Emperor of China was induced to give permission to his subjects to go and trade and reside ""in British Colonies,"" and to enter into ""engagements with British subjects for that purpose."" 

",0.024306045845150948,0.7458714246749878,0.22982247173786163
Crease,"The same provisions that apply to Chinese may be made to apply also to Americans, Frenchmen, Germans, or any other foreigners.",0.5863429307937622,0.36773115396499634,0.04592592641711235
Crease,"The Act is found associated with another Act now disallowed, the express object of which is to prevent the Chinese altogether from coming to this country, and the principle ""noscitur a sociis"" is kept up by the preamble of the present Act, which describes the Chinese in terms which, I venture to think, have never before in any other country found a place in an Act of Parliament. 

",0.009545691311359406,0.11337481439113617,0.8770795464515686
Crease,"Every person of Chinese origin, whether naturalized in Hong Kong or America, or any other State with which we are at amity, so long as they are of Chinese origin, 14 years of age—every one without distinction—must take out a license.",0.2555589973926544,0.6933259963989258,0.05111502483487129
Crease,"However difficult or impossible for any Chinese to find a district collector, if such Chinese is ""found without a license he is liable to a fine of $40.""",0.004578871186822653,0.5672433972358704,0.42817774415016174
Crease,"It is impossible but that such an imposition so enforced, in addition to all the general taxes to which he is subject, should make this country too hot for him to live in; and just in proportion as he is so persecuted out of the country, in that degree does this enactment interfere with trade and commerce and that control over aliens exclusively given to the Dominion.",0.11681124567985535,0.17129236459732056,0.7118964195251465
Crease,"Every employé of Chinese labour, whether English, American, or what not, is made liable to severe and incessant liability of a penal kind, for what?",0.03640323132276535,0.3068912625312805,0.6567054986953735
Crease,"No; an act or default of a stranger, a man whose language he knows not, and for every infraction of the Act by the Chinese under his employ.",0.010097918100655079,0.4277004301548004,0.5622016191482544
Crease,"The palpable object of such a provision, or set of provisions, is to render the employment of Chinese so distasteful and annoying to the employer that he must cease to employ them.",0.004920118488371372,0.035236503928899765,0.9598433971405029
Crease,"What is that but interfering with aliens, trade, and commerce? 

",0.016628997400403023,0.4268827438354492,0.5564882159233093
Crease,"If a man employ a Chinaman who should happen to be delinquent in his tax, and he happens to occupy a cottage or room of his employer, with his master's goods in it, under section 10 they are liable to seizure and sale.",0.0027828330639749765,0.2673915922641754,0.7298255562782288
Crease,"In other words, every Chinese is guilty until proved innocent—a provision which fills one conversant with subjects with alarm; for if such a law can be tolerated as against Chinese, the precedent is set, and in time of any popular outcry can easily be acted on for putting any other foreigners or even special classes among ourselves, as coloured people, or French, Italians, Americans, or Germans, under equally the same law.",0.8756484985351562,0.022839248180389404,0.10151226818561554
Crease,"That certainly is interfering with aliens. 

",0.16928017139434814,0.4588050842285156,0.37191468477249146
Crease,"The whole Act teems with special provisions which affect not only Chinese, but their employers, with obligations and liabilities as to the conduct of the Chinese in their employ, that no reasonable man would encounter, and run the risk of the penal consequences which the Act hangs over him. 

",0.029993463307619095,0.629192054271698,0.3408145308494568
Crease,"It is enough to add that ""any person,"" no matter whether white or Chinese, imprisoned in respect of any infraction of the provisions of the Act, may be at the will of the executive, subjected even to hard labour. 

",0.09133243560791016,0.55174720287323,0.3569203317165375
Crease,"The Act is so full of provisions that interfere directly with aliens, with trade, and with commerce, that I have no hesitation in pronouncing all such provisions, and among them those under which the appellant in this case has been convicted, to be ultra vires the local legislature, and consequently illegal and void. 

",0.10654189437627792,0.6122088432312012,0.2812492847442627
Crease,"So far, I have dealt with the Act on its own merits; but if we consider it in juxtaposition to the Dominion Act recently passed restricting the Chinese throughout all Canada, its illegality becomes transparent; for in passing that Act against the Chinese the Dominion has spoken by the highest authority which it possesses—its own Parliament.",0.49783793091773987,0.10486327856779099,0.39729881286621094
Crease,"By the Constitutional Act the subject of aliens, we have seen, is specially reserved to the Dominion, and it is now an axiom, in the interpretation of that Act, that when that authority deals with a subject expressly included in its jurisdiction by the 91st section, it has possession of that subject exclusively, and the Province has to give way.",0.02314198948442936,0.6735069155693054,0.30335110425949097
Crease,"It is a great assumption of power on the part of a Province to pass laws, the effect of which must be practically to expel a particular class of aliens from that Province, to say in effect that it will by its legislation impede or prevent that class from being employed in another Province—say the North-west Territory or Manitoba—where railway works may be languishing for want of that very class of labourers, British Columbia being the only sea-board of Canada on the Pacific through which (in face of the restrictive laws of the United States) that class of labourers can enter and pass through; that is, in fact, legislating on all inter-provincial immigration; in other words, such legislation is ultra vires, and so I pronounce it; and adjudge accordingly, and quash the conviction, with costs. 


",0.22504922747612,0.5263300538063049,0.24862071871757507
Crease,"""

Action of trespass against the Medical Health Officer of the City of Victoria for causing the plaintiff, one of a number of Chinamen, who landed at Victoria in a steamer last from Hong Kong in China, to be removed to the ""Suspect Station"" and there detained and subjected to cleansing process under colour of Sec.",0.22077466547489166,0.2373197227716446,0.5419056415557861
Crease,"The only evidence of Hong Kong being a place infected, etc., was that of a medical man resident in Victoria, who said ""That in China small pox was endemic, because there inoculation was the universal practice.",0.019561704248189926,0.9006921648979187,0.07974604517221451
Crease,"That there was danger of infection from white passengers, but not the same danger as from Chinamen.""",0.009943780489265919,0.13593564927577972,0.8541205525398254
Crease,"CREASE, J.: This was a test action to try whether Chinamen have the same rights as other foreigners in landing here on their advent from China.

",0.5217370986938477,0.39498329162597656,0.08327953517436981
Crease,"The occasion was the arrival of the Empress of China at the Outer Wharf, which is within the city limits of Victoria, on the 1st day of May, 1894, from China and Hongkong.

",0.030942002311348915,0.8615858554840088,0.10747213661670685
